rule_id,query_sub_id
342117,295636
310438,277524
285552,246101
317707,281498
325643,285968
310132,277435
340266,294566
335371,291347
326821,286551
334067,290775
318991,282063
326819,286549
315839,280571
255530,216885
326820,286550
311250,277905
339336,293972
332932,290184
65580,78762
309015,276408
298974,263975
285049,245491
298975,263976
335378,291350
336569,292073
336067,291795
336568,292072
313443,279320
341218,295096
278279,237637
336870,292276
298705,263636
336570,292074
324891,285485
336872,292278
340286,294581
316135,280708
307825,275082
311601,278153
83209,91879
288874,250704
336871,292277
283426,243510
311309,277939
296978,261466
311033,277826
290605,253339
338072,293042
286409,247189
314396,279764
285742,246433
310243,277485
315794,280553
317684,281487
296624,261045
308876,276182
286358,247118
327106,286730
286389,247152
285541,246082
291831,255199
291832,255200
338669,293541
296292,260464
295256,259430
311181,277888
341239,295112
254443,215690
336883,292285
324308,285210
289178,251151
327652,287108
297324,261874
301125,267288
314284,279688
301130,267293
182872,159479
300471,266108
300472,266109
294264,258120
309132,276596
291833,255201
310788,277720
335040,291241
295312,259581
311030,277823
311034,277827
310815,277734
311035,277828
311038,277831
286020,246905
311031,277824
315341,280258
311036,277829
311039,277832
313306,279254
254792,216111
315342,280259
320504,282983
311037,277830
308719,275973
313425,279309
321533,283385
337323,292455
320480,282972
300447,266041
337324,292456
315259,280230
315343,280260
337326,292457
337330,292458
338685,293554
320479,282971
332641,290014
314095,279617
326822,286552
337196,292425
162301,145256
272062,231930
340684,294801
326827,286554
197712,170230
327174,286756
340685,294802
310530,277578
319173,282170
341250,295120
340686,294803
329713,288455
330930,289179
292428,256239
318826,281984
291972,255351
291968,255347
296541,260806
301045,267117
301915,268260
229326,193332
296535,260799
301931,268287
320842,283150
326600,286437
326852,286567
291971,255350
301924,268276
301930,268282
301925,268277
301920,268274
319177,282173
301926,268278
322304,283758
311951,278403
305809,272536
305811,272537
326851,286566
301927,268279
341289,295148
312897,279013
312898,279014
334070,290778
312327,278575
341782,295393
315997,280637
338707,293558
341328,295176
321113,283250
297325,261875
317898,281585
339984,294401
336113,291836
322496,283855
323282,284492
326880,286579
323283,284493
334324,290839
323835,284918
324228,285168
324004,285042
334326,290841
324443,285261
311032,277825
324005,285043
324613,285313
324229,285169
319175,282171
322179,283682
326901,286588
327981,287300
324323,285213
315406,280289
315395,280285
326889,286583
330773,289106
326900,286587
326859,286570
182860,159469
336132,291849
326887,286582
301919,268273
266305,227492
182863,159471
327257,286802
330544,288992
323131,284411
326981,286648
341793,295398
326961,286631
144811,133339
298123,262951
182869,159476
326931,286610
284255,244424
161524,144817
326917,286596
337066,292352
336340,291970
335104,291276
335105,291277
327955,287288
326683,286470
326598,286435
327798,287206
204139,175407
337054,292346
326927,286606
317466,281371
327627,287098
313779,279480
330368,288886
328131,287376
330366,288884
330369,288887
283468,243589
336152,291858
328305,287473
293580,257111
328139,287382
325340,285867
244549,205403
274620,234147
331912,289798
337130,292405
154818,140520
340618,294756
333425,290405
334551,290971
327326,286834
334554,290973
334559,290979
334563,290982
334564,290983
334566,290985
334565,290984
333185,290302
334561,290980
334582,290993
334581,290992
62976,76852
317899,281586
333435,290408
318755,281954
63945,77577
339428,294018
332967,290196
333459,290410
287203,247996
340031,294431
286373,247135
327845,287240
336199,291880
334926,291186
340030,294430
334496,290943
334282,290816
145783,134035
333610,290492
323127,284408
335845,291676
334043,290752
335670,291599
334044,290753
336399,291995
335265,291325
334557,290976
334553,290972
335266,291326
336412,291997
324833,285453
336457,292031
335028,291236
334057,290766
334556,290975
334059,290768
335851,291680
334060,290769
334045,290754
332964,290195
334300,290824
308370,275642
335029,291237
315512,280340
336432,292009
310531,277579
285519,246050
334592,290997
337522,292592
337523,292593
337524,292594
337525,292595
327012,286671
337526,292596
334619,291013
327010,286669
341719,295362
327763,287183
333318,290371
327011,286670
329250,288324
66787,79606
336956,292304
327009,286668
336849,292264
337198,292426
336853,292267
338954,293733
339921,294357
313474,279337
308720,275974
144018,132918
339922,294358
341728,295368
338531,293433
326924,286603
338956,293735
318957,282054
225108,190633
337280,292433
337281,292434
337518,292589
338051,293034
341639,295329
336397,291993
341444,295242
336398,291994
339957,294382
341445,295243
337521,292591
339930,294363
339931,294364
339308,293959
339958,294383
299593,264679
329198,288311
342476,295855
339318,293962
340441,294667
171299,151475
340998,295063
341727,295367
336161,291860
341720,295363
342425,295817
66786,79605
342426,295818
340244,294558
301033,267088
301032,267085
341156,295073
341203,295092
338043,293032
218305,185792
212851,181790
23789,25117
8876,15027
33641,31146
134835,126672
46498,41875
66788,79607
96456,101874
184423,160693
182858,159468
182838,159451
205305,176154
229325,193331
236282,198436
